customer_city,seller_city,delivery_performance
sao francisco de paula,sao jose do rio preto,7 days 06:04:03.000000000
porto alegre,sao carlos,7 days 06:04:41.000000000
porto alegre,rio do sul,7 days 06:04:41.000000000
itabera,registro,7 days 06:04:44.000000000
barueri,guariba,7 days 06:05:18.000000000
itiuba,betim,7 days 06:05:31.000000000
contagem,santa barbara d´oeste,7 days 06:05:37.000000000
goiania,curitiba,7 days 06:05:53.000000000
descalvado,sao paulo,7 days 06:06:18.000000000
gravatai,joinville,7 days 06:06:27.000000000
sao jose,videira,7 days 06:07:27.000000000
sumare,franca,7 days 06:08:44.000000000
mogi das cruzes,londrina,7 days 06:09:08.000000000
sao caetano do sul,londrina,7 days 06:10:01.000000000
franca,uberlandia,7 days 06:10:31.000000000
itu,ribeirao preto,7 days 06:10:51.000000000
telemaco borba,maringa,7 days 06:11:03.000000000
quata,dracena,7 days 06:11:37.000000000
campestre,itauna,7 days 06:12:06.000000000
sao carlos,cruzeiro,7 days 06:12:10.000000000
pinhalzinho,ibitinga,7 days 06:13:15.000000000
americana,jaguaruna,7 days 06:13:45.000000000
guarapuava,sao paulo,7 days 06:13:54.000000000
brasilia,pradopolis,7 days 06:14:15.000000000
sertaozinho,barueri,7 days 06:14:31.000000000
santa helena de minas,santo andre,7 days 06:15:18.000000000
belo horizonte,bento goncalves,7 days 06:15:39.000000000
parnamirim,recife,7 days 06:15:47.000000000
francisco morato,ibitinga,7 days 06:16:46.000000000
taubate,dois corregos,7 days 06:16:47.000000000
brusque,colombo,7 days 06:16:55.000000000
marau,pirituba,7 days 06:17:00.000000000
belo horizonte,porto belo,7 days 06:17:15.000000000
manduri,guara,7 days 06:17:28.000000000
braganca paulista,maringa,7 days 06:17:43.000000000
votuporanga,aracatuba,7 days 06:17:51.000000000
fernando prestes,coxim,7 days 06:18:37.000000000
embu das artes,porto alegre,7 days 06:19:04.000000000
guaratingueta,belo horizonte,7 days 06:19:48.000000000
araxa,praia grande,7 days 06:20:01.000000000
lagoa da prata,sao bernardo do campo,7 days 06:20:03.000000000
praia grande,cruzeiro,7 days 06:20:05.000000000
sao paulo,bandeirantes,7 days 06:20:14.000000000
loanda,presidente prudente,7 days 06:20:18.000000000
divinopolis,santa barbara d'oeste,7 days 06:20:24.000000000
rio de janeiro,tanabi,7 days 06:20:34.000000000
passo fundo,campo bom,7 days 06:20:35.000000000
soledade,salto,7 days 06:20:38.000000000
marica,rio do sul,7 days 06:21:31.000000000
sinop,campinas,7 days 06:21:31.000000000
paraguacu paulista,guariba,7 days 06:21:51.000000000
conceicao de macabu,sao paulo,7 days 06:21:51.000000000
santa monica,porto alegre,7 days 06:22:20.000000000
santa monica,joinville,7 days 06:22:20.000000000
varzea paulista,tanabi,7 days 06:22:35.000000000
sao benedito,sao paulo,7 days 06:22:43.000000000
diadema,guariba,7 days 06:22:53.000000000
bertioga,guariba,7 days 06:23:20.000000000
altonia,ibitinga,7 days 06:23:59.000000000
quitandinha,jau,7 days 06:25:07.000000000
itaperuna,penapolis,7 days 06:25:10.000000000
santo antonio do amparo,vila velha,7 days 06:25:33.000000000
cerro grande do sul,sao paulo,7 days 06:25:38.000000000
sao goncalo,ilicinea,7 days 06:26:10.000000000
santo andre,maringa,7 days 06:26:26.000000000
aracitaba,carazinho,7 days 06:27:15.000000000
atibaia,jaboticabal,7 days 06:27:23.000000000
machado,bonfinopolis de minas,7 days 06:27:33.000000000
campinas,cornelio procopio,7 days 06:27:38.000000000
campos dos goytacazes,belo horizonte,7 days 06:27:51.000000000
unai,ibitinga,7 days 06:28:10.000000000
natal,belo horizonte,7 days 06:28:31.000000000
salvador,brasilia,7 days 06:29:25.000000000
sales oliveira,sao paulo,7 days 06:29:25.000000000
cascavel,rio de janeiro,7 days 06:29:31.000000000
mafra,rio do sul,7 days 06:29:42.000000000
santa cruz do sul,sao paulo,7 days 06:30:10.000000000
ritapolis,sao paulo,7 days 06:31:06.000000000
sao carlos,videira,7 days 06:31:15.000000000
rio de janeiro,mamanguape,7 days 06:31:23.000000000
nova prata,porto alegre,7 days 06:31:29.000000000
lencois paulista,mogi das cruzes,7 days 06:32:10.000000000
sao jose dos campos,sao joaquim da barra,7 days 06:32:33.000000000
santos,ribeirao das neves,7 days 06:32:35.000000000
irapuru,penapolis,7 days 06:32:48.000000000
sao leopoldo,pato branco,7 days 06:33:16.000000000
sao joao nepomuceno,guaratuba,7 days 06:33:36.000000000
betim,curitiba,7 days 06:33:49.000000000
franco da rocha,rio de janeiro,7 days 06:34:02.000000000
duque de caxias,jales,7 days 06:34:31.000000000
belo horizonte,pirituba,7 days 06:36:58.000000000
sao bernardo do campo,floresta,7 days 06:37:06.000000000
sao sebastiao,jundiai,7 days 06:37:13.000000000
nova odessa,rio de janeiro,7 days 06:37:17.000000000
fundao,curitiba,7 days 06:38:30.000000000
tatui,guariba,7 days 06:38:49.000000000
petropolis,sao jose do rio pardo,7 days 06:38:54.000000000
santa maria,porto belo,7 days 06:39:19.000000000
coxim,sao paulo,7 days 06:39:34.000000000
cruzeiro,garulhos,7 days 06:39:42.000000000
lencois paulista,piracicaba,7 days 06:40:22.000000000
santarem,sao paulo,7 days 06:41:18.000000000
duque de caxias,jacarei,7 days 06:42:06.000000000
uberlandia,niteroi,7 days 06:43:04.000000000
capao da canoa,londrina,7 days 06:43:24.000000000
valparaiso de goias,recife,7 days 06:43:52.000000000
piracicaba,jaguaruna,7 days 06:44:01.000000000
mineiros,sao paulo,7 days 06:44:23.000000000
garopaba,blumenau,7 days 06:44:39.000000000
lagoa santa,goiania,7 days 06:44:57.000000000
itaguai,porto alegre,7 days 06:44:58.000000000
ipatinga,formosa do oeste,7 days 06:45:01.000000000
sorocaba,itajai,7 days 06:45:29.000000000
gravatai,ibitinga,7 days 06:45:37.000000000
barretos,assis,7 days 06:45:41.000000000
osasco,mirassol,7 days 06:45:46.000000000
dois vizinhos,sao pedro,7 days 06:46:54.000000000
alfenas,guarulhos,7 days 06:47:50.000000000
campo grande,joinville,7 days 06:49:49.000000000
pouso alegre,recife,7 days 06:51:27.000000000
abaete,bauru,7 days 06:51:31.000000000
ribeirao preto,cajamar,7 days 06:53:43.000000000
belford roxo,ibitinga,7 days 06:54:16.000000000
jaragua do sul,mage,7 days 06:54:25.000000000
sao carlos,guara,7 days 06:54:34.000000000
guaranta do norte,sao paulo,7 days 06:55:08.000000000
sao jose do cerrito,curitiba,7 days 06:55:41.000000000
farroupilha,maringa,7 days 06:56:36.000000000
pesqueira,vargem grande do sul,7 days 06:56:56.000000000
cosmopolis,sao luis,7 days 06:57:10.000000000
porto alegre,descalvado,7 days 06:57:50.000000000
franco da rocha,sao jose do rio preto,7 days 06:57:55.000000000
morro agudo,ibitinga,7 days 06:58:00.000000000
francisco morato,maua,7 days 06:58:26.000000000
pouso alegre,porto alegre,7 days 06:58:30.000000000
paraibuna,santa barbara d´oeste,7 days 06:58:46.000000000
santa fe do sul,praia grande,7 days 06:59:29.000000000
cotia,campinas,7 days 07:00:39.000000000
porto alegre,osasco,7 days 07:01:02.000000000
lorena,jau,7 days 07:02:10.000000000
sao jose dos campos,araguari,7 days 07:02:17.000000000
atibaia,betim,7 days 07:02:36.000000000
itaguai,campo do meio,7 days 07:02:58.000000000
cianorte,sao jose,7 days 07:04:05.000000000
lins,sorocaba,7 days 07:04:22.000000000
sao paulo,alfenas,7 days 07:04:35.000000000
rio claro,santa barbara d´oeste,7 days 07:04:40.000000000
jenipapo de minas,barrinha,7 days 07:04:53.000000000
londrina,penapolis,7 days 07:05:07.000000000
guaratingueta,registro,7 days 07:05:14.000000000
sao lourenco,guarulhos,7 days 07:05:28.000000000
vinhedo,porto ferreira,7 days 07:05:52.000000000
marilia,louveira,7 days 07:05:55.000000000
barueri,fazenda rio grande,7 days 07:06:02.000000000
bauru,ilicinea,7 days 07:06:40.000000000
contagem,mombuca,7 days 07:06:50.000000000
itatiaia,arvorezinha,7 days 07:06:56.000000000
guaruja,maringa,7 days 07:07:10.000000000
castilho,santos,7 days 07:07:11.000000000
hortolandia,araucaria,7 days 07:07:28.000000000
rondonopolis,praia grande,7 days 07:07:34.000000000
ouro branco,campinas,7 days 07:07:54.000000000
americana,sao joaquim da barra,7 days 07:08:35.000000000
ilha solteira,sao bernardo do campo,7 days 07:08:50.000000000
manhumirim,salto,7 days 07:09:31.000000000
campinas,blumenau,7 days 07:09:39.000000000
santa luzia,curitiba,7 days 07:09:53.000000000
sao jose dos campos,nova petropolis,7 days 07:10:11.000000000
sao paulo,leme,7 days 07:10:13.000000000
siqueira campos,ibitinga,7 days 07:10:21.000000000
santo angelo,praia grande,7 days 07:11:35.000000000
jacutinga,sao paulo,7 days 07:11:44.000000000
goiania,amparo,7 days 07:13:47.000000000
atibaia,sao sebastiao,7 days 07:13:51.000000000
santo antonio da patrulha,guarulhos,7 days 07:14:06.000000000
sao paulo,bariri,7 days 07:14:12.000000000
joinville,cascavel,7 days 07:14:37.000000000
itatiba,vitoria de santo antao,7 days 07:14:59.000000000
salvador,brejao,7 days 07:15:50.000000000
salvador,dracena,7 days 07:15:50.000000000
cascavel,penapolis,7 days 07:16:12.000000000
sorocaba,ilicinea,7 days 07:16:31.000000000
tres rios,sao paulo,7 days 07:16:34.000000000
aparecida,tres coracoes,7 days 07:17:23.000000000
itapecerica da serra,engenheiro coelho,7 days 07:17:36.000000000
jaragua do sul,sp,7 days 07:17:37.000000000
janauba,itaquaquecetuba,7 days 07:18:20.000000000
campos dos goytacazes,diadema,7 days 07:18:39.000000000
nova prata do iguacu,curitiba,7 days 07:19:22.000000000
ivaipora,borda da mata,7 days 07:19:50.000000000
paraiba do sul,ilicinea,7 days 07:20:19.000000000
duque de caxias,cotia,7 days 07:20:26.000000000
santo antonio da patrulha,curitiba,7 days 07:21:06.000000000
santa barbara d'oeste,sete lagoas,7 days 07:21:47.000000000
sao caetano do sul,dracena,7 days 07:21:54.000000000
vitoria,atibaia,7 days 07:22:20.000000000
governador valadares,capivari,7 days 07:22:31.000000000
campinas,sete lagoas,7 days 07:23:10.000000000
itapeva,presidente prudente,7 days 07:23:32.000000000
governador valadares,curitiba,7 days 07:23:49.000000000
urupes,carapicuiba,7 days 07:24:15.000000000
santo andre,cambe,7 days 07:24:19.000000000
sao jose dos pinhais,indaiatuba,7 days 07:25:27.000000000
santo expedito,osasco,7 days 07:26:38.000000000
santa maria,montenegro,7 days 07:26:56.000000000
alpercata,tupa,7 days 07:26:59.000000000
aparecida de goiania,jacarei,7 days 07:27:10.000000000
vinhedo,itajai,7 days 07:27:17.000000000
sao pedro da aldeia,volta redonda,7 days 07:27:32.000000000
valinhos,sarandi,7 days 07:27:44.000000000
colorado,sao paulo,7 days 07:28:00.000000000
barretos,formiga,7 days 07:28:06.000000000
brodowski,sao paulo,7 days 07:28:25.000000000
duque de caxias,campo limpo paulista,7 days 07:28:31.000000000
araruama,montes claros,7 days 07:29:05.000000000
sao jose dos campos,caxias do sul,7 days 07:30:52.000000000
carmo,sao paulo,7 days 07:31:11.000000000
sao vicente,auriflama/sp,7 days 07:32:03.000000000
santana de parnaiba,porto alegre,7 days 07:32:31.000000000
porto de pedras,recife,7 days 07:33:15.000000000
engenheiro coelho,guarulhos,7 days 07:34:25.000000000
nilopolis,duque de caxias,7 days 07:34:29.000000000
mogi mirim,carapicuiba,7 days 07:34:36.000000000
embu das artes,ribeirao preto,7 days 07:34:39.000000000
valinhos,hortolandia,7 days 07:34:49.000000000
assis,ibitinga,7 days 07:36:21.000000000
joao neiva,santo andre,7 days 07:36:23.000000000
rio do antonio,salvador,7 days 07:36:46.000000000
patrocinio,cajamar,7 days 07:37:35.000000000
frutal,itatiba,7 days 07:38:07.000000000
barra de sao joao,botucatu,7 days 07:38:25.000000000
campos dos goytacazes,sumare,7 days 07:38:31.000000000
navegantes,sao paulo,7 days 07:38:34.000000000
ibitinga,rolandia,7 days 07:38:48.000000000
governador valadares,jau,7 days 07:38:52.000000000
votuporanga,campo bom,7 days 07:39:52.000000000
pouso alegre,ilicinea,7 days 07:39:58.000000000
barretos,barueri,7 days 07:40:32.000000000
farroupilha,salto,7 days 07:40:53.000000000
piracicaba,uba,7 days 07:41:23.000000000
benedito novo,socorro,7 days 07:41:43.000000000
rio de janeiro,ribeirao preto / sao paulo,7 days 07:41:51.000000000
jandaia do sul,navegantes,7 days 07:43:41.000000000
araras,curitiba,7 days 07:45:19.000000000
pocos de caldas,jau,7 days 07:45:40.000000000
goiania,contagem,7 days 07:45:51.000000000
corinto,aracatuba,7 days 07:46:08.000000000
marialva,belo horizonte,7 days 07:46:28.000000000
sao carlos,serra negra,7 days 07:46:40.000000000
goioere,itauna,7 days 07:46:42.000000000
guaruja,apucarana,7 days 07:46:57.000000000
santo anastacio,brasilia,7 days 07:47:13.000000000
botucatu,santa barbara d´oeste,7 days 07:47:19.000000000
vassouras,ibitinga,7 days 07:47:30.000000000
ipatinga,mirassol,7 days 07:48:01.000000000
cuiaba,brasilia,7 days 07:48:07.000000000
maua,hortolandia,7 days 07:48:40.000000000
santos,apucarana,7 days 07:49:26.000000000
patos de minas,mandirituba,7 days 07:49:54.000000000
sao jose dos pinhais,santo andre,7 days 07:49:59.000000000
uberlandia,lencois paulista,7 days 07:50:13.000000000
contagem,parana,7 days 07:50:20.000000000
natal,teresopolis,7 days 07:50:29.000000000
avare,ibitinga,7 days 07:51:12.000000000
limeira,rio de janeiro,7 days 07:51:48.000000000
lontras,cascavel,7 days 07:52:48.000000000
braganca paulista,capivari,7 days 07:53:24.000000000
promissao,campo limpo paulista,7 days 07:53:54.000000000
criciuma,rio de janeiro,7 days 07:55:11.000000000
camboriu,canoinhas,7 days 07:55:29.000000000
estancia velha,poa,7 days 07:55:43.000000000
belo horizonte,massaranduba,7 days 07:56:10.000000000
osvaldo cruz,sao jose do rio preto,7 days 07:56:38.000000000
piratininga,sumare,7 days 07:56:39.000000000
porto alegre,praia grande,7 days 07:57:04.000000000
pirassununga,borda da mata,7 days 07:57:08.000000000
sorocaba,votuporanga,7 days 07:58:30.000000000
araraquara,marilia,7 days 07:59:00.000000000
cruz machado,rio de janeiro,7 days 07:59:00.000000000
balneario camboriu,maringa,7 days 07:59:19.000000000
comendador levy gasparian,campo limpo paulista,7 days 07:59:23.000000000
comendador levy gasparian,lencois paulista,7 days 07:59:23.000000000
sao marcos,ribeirao preto / sao paulo,7 days 07:59:42.000000000
iguape,maua,7 days 08:00:53.000000000
venda nova do imigrante,rio de janeiro,7 days 08:00:57.000000000
uberaba,goiania,7 days 08:01:04.000000000
baixo guandu,sao paulo,7 days 08:01:29.000000000
caraguatatuba,cariacica,7 days 08:01:39.000000000
mafra,santo andre,7 days 08:01:43.000000000
mesquita,sao bernardo do campo,7 days 08:02:10.000000000
conceicao do para,sao paulo,7 days 08:02:24.000000000
paulinia,itaquaquecetuba,7 days 08:02:58.000000000
camanducaia,lauro de freitas,7 days 08:03:37.000000000
mage,itaquaquecetuba,7 days 08:03:50.000000000
taua,sao luis,7 days 08:03:59.000000000
luziania,sete lagoas,7 days 08:04:02.000000000
taubate,florianopolis,7 days 08:04:49.000000000
cruzeiro,ibitinga,7 days 08:04:59.000000000
pirapora do bom jesus,rio de janeiro,7 days 08:05:23.000000000
ijui,praia grande,7 days 08:05:29.000000000
caieiras,araraquara,7 days 08:07:12.000000000
pariquera-acu,timbo,7 days 08:07:26.000000000
jaguariuna,fronteira,7 days 08:07:47.000000000
abelardo luz,sbc/sp,7 days 08:08:10.000000000
montes claros,osasco,7 days 08:08:16.000000000
farroupilha,francisco beltrao,7 days 08:09:05.000000000
serra,bebedouro,7 days 08:09:44.000000000
marilia,aracatuba,7 days 08:09:51.000000000
canoinhas,barueri,7 days 08:10:03.000000000
vila velha,maringa,7 days 08:11:06.000000000
mage,niteroi,7 days 08:11:12.000000000
presidente epitacio,ribeirao preto / sao paulo,7 days 08:11:20.000000000
cotia,franca,7 days 08:11:56.000000000
tubarao,sao bernardo do campo,7 days 08:12:19.000000000
guapimirim,carapicuiba,7 days 08:12:50.000000000
belo horizonte,sarandi,7 days 08:12:54.000000000
uberlandia,praia grande,7 days 08:12:56.000000000
santo angelo,curitiba,7 days 08:13:54.000000000
rio de janeiro,rio grande,7 days 08:14:17.000000000
belo horizonte,sao pedro da aldeia,7 days 08:15:50.000000000
ibitinga,ibitinga,7 days 08:15:57.000000000
auriflama,sao paulo,7 days 08:17:51.000000000
belo oriente,jundiai,7 days 08:18:04.000000000
osasco,apucarana,7 days 08:18:34.000000000
lins,porto alegre,7 days 08:18:40.000000000
nova canaa paulista,capivari,7 days 08:19:12.000000000
cabo frio,atibaia,7 days 08:19:59.000000000
nova friburgo,sumare,7 days 08:20:01.000000000
santana de parnaiba,londrina,7 days 08:20:21.000000000
santa maria de jetiba,santo andre,7 days 08:20:32.000000000
cornelio procopio,franca,7 days 08:20:44.000000000
santa isabel,guarulhos,7 days 08:20:51.000000000
limeira,aparecida,7 days 08:21:20.000000000
teofilo otoni,porto alegre,7 days 08:21:47.000000000
chapeco,capivari,7 days 08:21:51.000000000
niteroi,piracicaba,7 days 08:21:52.000000000
sao jose do hortencio,carapicuiba,7 days 08:23:07.000000000
goiania,navegantes,7 days 08:23:12.000000000
santa juliana,barueri,7 days 08:23:25.000000000
barretos,jundiai,7 days 08:23:36.000000000
cruzilia,rio claro,7 days 08:24:35.000000000
pedro leopoldo,sao jose dos campos,7 days 08:24:40.000000000
sorocaba,blumenau,7 days 08:24:44.000000000
itaquaquecetuba,rio de janeiro,7 days 08:25:14.000000000
franco da rocha,tupa,7 days 08:25:40.000000000
merces,araguari,7 days 08:26:03.000000000
imbituba,sao jose do rio preto,7 days 08:26:15.000000000
jau,londrina,7 days 08:26:40.000000000
japeri,ibitinga,7 days 08:27:27.000000000
botucatu,itajai,7 days 08:27:30.000000000
guarulhos,timbo,7 days 08:27:40.000000000
salvador,uberlandia,7 days 08:27:52.000000000
paraiso,ibitinga,7 days 08:28:03.000000000
presidente venceslau,curitiba,7 days 08:28:53.000000000
itajuba,curitiba,7 days 08:28:54.000000000
trabiju,niteroi,7 days 08:29:09.000000000
pinheiral,sao paulo,7 days 08:29:50.000000000
taubate,palhoca,7 days 08:30:18.000000000
cumaru,sao luis,7 days 08:30:33.000000000
rio verde,brasilia,7 days 08:30:37.000000000
santa rita de caldas,belo horizonte,7 days 08:30:42.000000000
sao jose,borda da mata,7 days 08:31:00.000000000
itaobim,toledo,7 days 08:31:14.000000000
ipaussu,campinas,7 days 08:31:22.000000000
barretos,araguari,7 days 08:31:42.000000000
mogi das cruzes,paranavai,7 days 08:31:51.000000000
itabirito,guarulhos,7 days 08:32:17.000000000
ijui,presidente prudente,7 days 08:32:32.000000000
vicosa,brusque,7 days 08:32:41.000000000
nova serrana,itauna,7 days 08:32:42.000000000
sericita,sorocaba,7 days 08:32:48.000000000
sao leopoldo,rio de janeiro,7 days 08:33:40.000000000
matinhos,sorocaba,7 days 08:33:40.000000000
itarare,jaci,7 days 08:34:44.000000000
catanduva,poa,7 days 08:34:59.000000000
carapicuiba,carapicuiba,7 days 08:35:17.000000000
braganca paulista,apucarana,7 days 08:35:29.000000000
sao francisco,santa rita do sapucai,7 days 08:36:47.000000000
carmo do rio claro,barueri,7 days 08:37:02.000000000
presidente prudente,itatiba,7 days 08:38:11.000000000
espera feliz,santa rita do sapucai,7 days 08:38:49.000000000
joao monlevade,itauna,7 days 08:39:23.000000000
belo horizonte,tupa,7 days 08:39:28.000000000
viana,sumare,7 days 08:39:43.000000000
sao joao de meriti,tres coracoes,7 days 08:40:12.000000000
rosario do sul,sao paulo,7 days 08:40:23.000000000
hortolandia,paraiba do sul,7 days 08:40:50.000000000
maua,monteiro lobato,7 days 08:40:51.000000000
macae,contagem,7 days 08:41:02.000000000
maracanau,ribeirao preto,7 days 08:41:06.000000000
maracanau,sao jose dos campos,7 days 08:41:06.000000000
cicero dantas,presidente prudente,7 days 08:41:08.000000000
telemaco borba,guariba,7 days 08:41:48.000000000
lages,canoas,7 days 08:42:07.000000000
apucarana,piracicaba,7 days 08:42:33.000000000
guapimirim,curitiba,7 days 08:42:35.000000000
simao dias,sumare,7 days 08:44:24.000000000
santa barbara d'oeste,joinville,7 days 08:45:08.000000000
vitoria,sao caetano do sul,7 days 08:45:19.000000000
promissao,hortolandia,7 days 08:45:58.000000000
braganca paulista,presidente prudente,7 days 08:46:11.000000000
goiania,itaquaquecetuba,7 days 08:47:49.000000000
brasilia,jaguariuna,7 days 08:48:08.000000000
cerro largo,valinhos,7 days 08:48:24.000000000
sarandi,cascavel,7 days 08:48:30.000000000
ribeirao preto,betim,7 days 08:48:45.000000000
valenca,praia grande,7 days 08:49:52.000000000
cerqueira cesar,ibitinga,7 days 08:50:06.000000000
louveira,ribeirao preto,7 days 08:50:09.000000000
pirapora do bom jesus,penapolis,7 days 08:50:30.000000000
matutina,borda da mata,7 days 08:50:47.000000000
rio real,sao paulo,7 days 08:51:08.000000000
juiz de fora,riberao preto,7 days 08:51:41.000000000
mantena,domingos martins,7 days 08:52:13.000000000
suzano,guariba,7 days 08:52:21.000000000
santa maria,sao caetano do sul,7 days 08:52:38.000000000
niteroi,diadema,7 days 08:55:28.000000000
cambe,guarulhos,7 days 08:55:29.000000000
bauru,monte siao,7 days 08:56:13.000000000
jau,santana de parnaiba,7 days 08:56:36.000000000
esmeraldas,ibitinga,7 days 08:56:58.000000000
curitiba,embu das artes,7 days 08:57:13.000000000
vera cruz,vicente de carvalho,7 days 08:57:20.000000000
gaspar,belo horizonte,7 days 08:57:57.000000000
cosmopolis,barueri,7 days 08:58:00.000000000
agua doce do norte,belo horizonte,7 days 08:58:16.000000000
governador valadares,tres coracoes,7 days 08:58:18.000000000
aruana,santo andre,7 days 08:59:23.000000000
tambau,marilia,7 days 08:59:39.000000000
florestal,bauru,7 days 09:00:11.000000000
salvador,mogi das cruzes,7 days 09:01:09.000000000
curitiba,pato bragado,7 days 09:01:43.000000000
viana,curitiba,7 days 09:02:31.000000000
aluminio,aparecida,7 days 09:02:32.000000000
guaicara,riberao preto,7 days 09:03:09.000000000
uniao da vitoria,sarandi,7 days 09:03:14.000000000
orindiuva,sao bernardo do campo,7 days 09:03:19.000000000
ibipitanga,rio de janeiro,7 days 09:03:33.000000000
ponte nova,ribeirao pires,7 days 09:04:46.000000000
anchieta,itapecerica da serra,7 days 09:04:47.000000000
serra,francisco beltrao,7 days 09:05:21.000000000
cacapava,maringa,7 days 09:05:43.000000000
contagem,itaquaquecetuba,7 days 09:06:58.000000000
telemaco borba,irati,7 days 09:08:20.000000000
sao roque,atibaia,7 days 09:08:56.000000000
indiara,morrinhos,7 days 09:10:05.000000000
niteroi,congonhal,7 days 09:10:05.000000000
vila velha,guarulhos,7 days 09:11:26.000000000
mogi mirim,santa rosa de viterbo,7 days 09:13:32.000000000
araguari,betim,7 days 09:15:11.000000000
piuma,campo limpo paulista,7 days 09:15:49.000000000
cerquilho,rio de janeiro,7 days 09:16:57.000000000
itajuba,londrina,7 days 09:17:18.000000000
foz do iguacu,guarulhos,7 days 09:18:08.000000000
cataguases,santo andre,7 days 09:18:16.000000000
pinhais,sao bento do sul,7 days 09:20:06.000000000
morro agudo,presidente prudente,7 days 09:20:10.000000000
bauru,aracatuba,7 days 09:20:25.000000000
sananduva,londrina,7 days 09:20:58.000000000
cachoeiro de itapemirim,salto,7 days 09:21:12.000000000
ocaucu,atibaia,7 days 09:21:25.000000000
ourinhos,santo andre,7 days 09:23:06.000000000
contagem,carapicuiba,7 days 09:23:35.000000000
santo antonio do jardim,sao paulo,7 days 09:24:55.000000000
matao,arapongas,7 days 09:25:06.000000000
igrejinha,piracicaba,7 days 09:25:50.000000000
passos,ibitinga,7 days 09:26:01.000000000
salto de pirapora,penapolis,7 days 09:27:13.000000000
itapeva,aruja,7 days 09:28:34.000000000
blumenau,salto,7 days 09:28:48.000000000
macae,jundiai,7 days 09:29:40.000000000
barretos,porto alegre,7 days 09:30:06.000000000
itabira,praia grande,7 days 09:30:25.000000000
cachoeiro de itapemirim,niteroi,7 days 09:30:33.000000000
manga,piracicaba,7 days 09:31:06.000000000
espirito santo do turvo,limeira,7 days 09:31:28.000000000
jundiai,timbo,7 days 09:32:16.000000000
jordania,santos,7 days 09:32:26.000000000
loanda,curitiba,7 days 09:33:23.000000000
brasilia,salvador,7 days 09:33:48.000000000
presidente venceslau,suzano,7 days 09:34:08.000000000
rio de janeiro,pradopolis,7 days 09:34:10.000000000
tatui,blumenau,7 days 09:34:46.000000000
capivari,blumenau,7 days 09:34:49.000000000
candido mota,guarulhos,7 days 09:34:58.000000000
palmares,sao paulo,7 days 09:35:00.000000000
tres coroas,londrina,7 days 09:35:31.000000000
sao bernardo do campo,porto belo,7 days 09:36:06.000000000
londrina,santo andre,7 days 09:36:17.000000000
pouso alegre,santo andre,7 days 09:38:14.000000000
sao goncalo,viamao,7 days 09:38:23.000000000
sete lagoas,congonhal,7 days 09:38:26.000000000
sete barras,juiz de fora,7 days 09:38:29.000000000
monte azul paulista,mogi das cruzes,7 days 09:38:46.000000000
itapecerica da serra,apucarana,7 days 09:39:00.000000000
barretos,sao joao de meriti,7 days 09:40:06.000000000
campo grande,jaragua,7 days 09:40:34.000000000
cedral,salto,7 days 09:41:47.000000000
cafelandia,dracena,7 days 09:41:59.000000000
ceara-mirim,salvador,7 days 09:42:05.000000000
vila velha,sao goncalo,7 days 09:43:04.000000000
encantado,sao paulo,7 days 09:44:47.000000000
pirapora,barueri,7 days 09:45:14.000000000
ilhabela,sao paulo,7 days 09:47:09.000000000
guarulhos,morrinhos,7 days 09:47:54.000000000
aparecida,sao jose dos campos,7 days 09:47:54.000000000
cabo de santo agostinho,barueri,7 days 09:48:50.000000000
garopaba,curitiba,7 days 09:50:17.000000000
navegantes,parai,7 days 09:50:58.000000000
vila velha,campo limpo paulista,7 days 09:51:14.000000000
maringa,belo horizonte,7 days 09:51:29.000000000
caieiras,sao roque,7 days 09:52:52.000000000
sao jose do rio preto,araguari,7 days 09:52:58.000000000
guarapuava,sao bernardo do campo,7 days 09:53:11.000000000
tanabi,ibitinga,7 days 09:53:19.000000000
vila muriqui,navegantes,7 days 09:53:33.000000000
penapolis,limeira,7 days 09:53:52.000000000
sao jose do rio preto,maringa,7 days 09:54:14.000000000
teresopolis,jacutinga,7 days 09:54:20.000000000
itinga,borda da mata,7 days 09:54:42.000000000
morro da fumaca,hortolandia,7 days 09:54:49.000000000
vitoria,contagem,7 days 09:54:49.000000000
itauna,guara,7 days 09:56:01.000000000
suzano,mirandopolis,7 days 09:56:25.000000000
bocaina,colombo,7 days 09:56:38.000000000
sao goncalo,recife,7 days 09:57:09.000000000
guarani das missoes,guarulhos,7 days 09:57:15.000000000
porto firme,alfenas,7 days 09:57:57.000000000
barra do pirai,jacarei,7 days 09:58:11.000000000
castro,maringa,7 days 09:58:29.000000000
araguari,pocos de caldas,7 days 09:59:32.000000000
forquilhinha,salto,7 days 09:59:42.000000000
jundiai,tres rios,7 days 10:00:21.000000000
paranagua,sao bernardo do campo,7 days 10:00:45.000000000
monte mor,limeira,7 days 10:00:46.000000000
piracicaba,ribeirao preto,7 days 10:01:23.000000000
belford roxo,aracatuba,7 days 10:02:43.000000000
juiz de fora,hortolandia,7 days 10:03:16.000000000
gramado,guarulhos,7 days 10:04:13.000000000
tubarao,novo hamburgo,7 days 10:04:53.000000000
santa adelia,sao paulo,7 days 10:05:08.000000000
acreuna,belo horizonte,7 days 10:05:18.000000000
bocaiuva,pocos de caldas,7 days 10:06:22.000000000
ribeirao preto,vendas@creditparts.com.br,7 days 10:06:47.000000000
praia grande,sorocaba,7 days 10:07:01.000000000
santa barbara d'oeste,macae,7 days 10:08:25.000000000
